City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Nanortalik,GL,60.1432,-45.2371,49.03,87,11,13.27,few clouds
215,Praya,CV,14.9215,-23.5087,76.53,88,69,4.14,broken clouds
216,Salekhard,RU,66.53,66.6019,61.25,49,60,16.89,broken clouds
217,Wanning,CN,18.8003,110.3967,83.73,84,15,14.23,few clouds
218,Tucurui,BR,-3.7661,-49.6725,78.44,63,72,3.78,broken clouds
219,Pontianak,ID,-0.0333,109.3333,89.58,66,75,4.61,broken clouds
220,Sanmenxia,CN,34.7747,111.1814,88.77,41,0,3.87,clear sky
221,Castro,BR,-24.7911,-50.0119,54.79,94,4,4.21,clear sky
222,Matamoros,MX,25.5333,-103.25,88.59,27,2,18.45,clear sky
223,Alibag,IN,18.6411,72.8792,82.47,83,100,10.98,overcast clouds
224,Guapore,BR,-28.8456,-51.8903,57.78,97,53,3.15,broken clouds
225,Mikhaylovka,RU,50.06,43.2379,60.78,89,100,9.37,light rain
226,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,47,16.62,light rain
227,Ilulissat,GL,69.2167,-51.1,48.22,66,100,3.44,overcast clouds
228,Fortuna,US,40.5982,-124.1573,56.35,89,8,5.12,clear sky
229,Jalu,LY,29.0331,21.5482,70.41,56,0,9.28,clear sky
230,Malaryta,BY,51.7905,24.074,58.44,86,3,4.27,clear sky
231,Pitimbu,BR,-7.4706,-34.8086,73.99,87,100,12.37,overcast clouds
232,Cam Ranh,VN,11.9214,109.1591,87.76,62,20,5.75,few clouds
233,Bud,US,39.447,-86.1758,80.58,78,0,6.85,clear sky
234,Vanavara,RU,60.34,102.2797,70.11,49,56,7.72,light rain
235,Ulladulla,AU,-35.35,150.4667,58.53,68,86,9.98,overcast clouds
236,Fairbanks,US,64.8378,-147.7164,67.6,56,75,5.75,broken clouds
237,Aklavik,CA,68.2191,-135.0107,61.41,53,100,9.04,overcast clouds
238,Djenne,ML,13.9061,-4.5533,76.84,82,69,9.48,broken clouds
239,Miyako,JP,39.6367,141.9525,76.12,82,94,3.42,overcast clouds
240,Arica,CL,-18.475,-70.3042,59.23,82,100,3.44,overcast clouds
241,Hargeysa,SO,9.56,44.065,66.06,68,79,29.15,broken clouds
242,Biak,ID,-0.9131,122.8766,81.16,77,33,3.83,scattered clouds
243,Garissa,KE,-0.4536,39.6401,69.58,80,56,15.59,broken clouds
244,Chitipa,MW,-9.7024,33.2697,57.25,86,55,6.15,broken clouds
245,Ewa Beach,US,21.3156,-158.0072,84.15,57,0,17.27,clear sky
246,Serra Branca,BR,-6.5333,-38.2667,70.16,81,89,6.13,overcast clouds
247,Kangaba,ML,11.9333,-8.4167,70.12,97,100,3.47,overcast clouds
248,Beringovskiy,RU,63.05,179.3167,47.41,68,87,13.82,overcast clouds
249,Sakakah,SA,29.9697,40.2064,88.38,21,21,12.62,few clouds
250,Rangia,IN,26.4667,91.6333,82.35,88,100,4.32,light rain
251,Kavaratti,IN,10.5669,72.642,80.98,79,100,20.29,overcast clouds
252,Owando,CG,-0.4819,15.8999,72.79,84,96,1.05,overcast clouds
253,Tasiilaq,GL,65.6145,-37.6368,35.76,79,100,5.7,overcast clouds
254,Haines Junction,CA,60.7522,-137.5108,52.3,61,73,6.4,broken clouds
255,Tautira,PF,-17.7333,-149.15,75.52,76,14,8.93,light rain
256,Port Keats,AU,-14.25,129.55,87.73,28,73,2.66,broken clouds
257,Tomatlan,MX,19.9333,-105.25,79.81,84,59,4.29,broken clouds
258,Billings,US,45.7833,-108.5007,79.66,39,0,10.36,clear sky
259,Oktyabrskiy,RU,54.4815,53.471,63.34,72,54,3.27,broken clouds
260,Tiznit,MA,29.5833,-9.5,88.84,20,61,7.76,broken clouds
261,Sao Filipe,CV,14.8961,-24.4956,75.18,90,46,4.94,scattered clouds
262,La Ronge,CA,55.1001,-105.2842,57.99,74,78,6.8,broken clouds
263,Harnosand,SE,62.6323,17.9379,60.01,90,91,3.04,overcast clouds
264,Dunda,TZ,-8.1167,34.25,54.43,83,10,1.34,clear sky
265,Eyl,SO,7.9803,49.8164,78.39,57,41,19.84,scattered clouds
266,Buala,SB,-8.145,159.5921,85.15,67,70,7.36,broken clouds
267,Kavieng,PG,-2.5744,150.7967,83.12,74,98,9.86,light rain
